µPMU location,PSL-Alameda,
µPMU latitude,44.47915,
µPMU longitude,-73.19798,
sample interval (msec),date stamp,time stamp,status,L1-E voltage RMS fundamental magnitude,L1-E voltage fundamental angle,L2-E voltage RMS fundamental magnitude,L2-E voltage fundamental angle,L3-E voltage RMS fundamental magnitude,L3-E voltage fundamental angle,L1 current RMS fundamental magnitude,L1 current fundamental angle,L2 current RMS fundamental magnitude,L2 current fundamental angle,L3 current RMS fundamental magnitude,L3 current fundamental angle,center frequency offset,disciplined vs GPS pps difference,ppl state,pps prd,gps alt,gps hasfix,gps hdop,gps lat,gps lon,gps satellites,gps state,fundamental W total,fundamental VAR total,fundamental VA total,fundamental dPF total,frequency one second L1-E,frequency C37 L1-E,
8.333333,2023/10/5,19:0:0.0000000,34,121.4844,319.9135,0.08704046,5.915811,0.06795009,42.53416,0.0001144082,52.07935,1.538539E-05,19.7612,3.145292E-13,16.16973,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0005239621,-0.0138892,0.01390014,-0.03769472,60.02855,60.02448,
8.333333,2023/10/5,19:0:0.0083333,34,121.5524,320.0428,0.08752494,10.01127,0.06655762,40.40072,0.0001163018,53.24949,1.783133E-05,27.44496,1.498289E-13,247.9848,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0007892886,-0.0141151,0.01413833,-0.05582616,60.02868,60.03528,
8.333333,2023/10/5,19:0:0.0166667,34,121.4612,320.1337,0.08405232,8.325512,0.06281245,44.54201,0.0001110636,53.84658,1.996035E-05,34.26151,1.20955E-13,95.14365,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0008720626,-0.01346234,0.01349159,-0.06463747,60.0287,60.03312,
8.333333,2023/10/5,19:0:0.0250000,34,121.5237,320.1972,0.0842129,9.676606,0.07041158,44.0905,0.0001237995,52.82198,1.380344E-05,25.81394,8.810967E-14,287.2254,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0006878602,-0.01502912,0.01504575,-0.04571792,60.0285,60.0261,
8.333333,2023/10/5,19:0:0.0333333,34,121.4558,320.2861,0.08449463,11.5601,0.06854912,50.18929,0.0001121654,52.90501,1.482335E-05,22.95263,5.280778E-14,113.458,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0006212613,-0.01360916,0.01362439,-0.0455992,60.02863,60.02716,
8.333333,2023/10/5,19:0:0.0416667,34,121.4967,320.3497,0.08568959,12.3641,0.06771967,43.5499,0.000120305,51.93167,1.748746E-05,23.63075,1.220268E-14,293.929,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0004020536,-0.01461138,0.01461816,-0.02750372,60.02869,60.02373,
8.333333,2023/10/5,19:0:0.0500000,34,121.4775,320.4317,0.08818404,10.77084,0.06923214,42.56253,0.0001152633,51.52734,1.85069E-05,27.1273,2.954998E-14,303.7017,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0002661698,-0.01399979,0.01400352,-0.01900734,60.02863,60.02573,
8.333333,2023/10/5,19:0:0.0583333,34,121.4805,320.504,0.0898785,8.327363,0.07128946,46.06451,0.0001145498,51.65503,1.386546E-05,27.64571,6.310371E-14,123.5834,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0002783664,-0.01391317,0.01391681,-0.02000217,60.02864,60.02477,
8.333333,2023/10/5,19:0:0.0666667,34,121.4626,320.5328,0.08618723,6.257174,0.06618302,48.2827,0.0001083143,51.81922,1.544036E-05,22.19067,8.947422E-14,303.6998,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0002940847,-0.01315319,0.01315747,-0.02235117,60.02823,60.01572,
8.333333,2023/10/5,19:0:0.0750000,34,121.5388,320.6321,0.09412181,4.936411,0.06714272,45.7794,0.0001220773,53.37471,1.130106E-05,32.25916,1.070446E-13,123.6777,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0007089868,-0.01482063,0.0148382,-0.0477812,60.02846,60.02516,
8.333333,2023/10/5,19:0:0.0833333,34,121.52,320.7816,0.08403211,4.496475,0.07095501,47.91418,0.0001179315,51.84749,1.435491E-05,23.21143,1.145667E-13,303.6728,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0002654535,-0.01432894,0.01433224,-0.01852142,60.02856,60.04078,
8.333333,2023/10/5,19:0:0.0916667,34,121.4697,320.835,0.08730036,12.43645,0.06915099,46.49741,0.0001253911,53.14419,1.734098E-05,22.85739,1.128293E-13,123.7708,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0006122202,-0.01521913,0.01523274,-0.04019109,60.02858,60.02893,
8.333333,2023/10/5,19:0:0.1000000,34,121.4545,320.894,0.09512722,6.120061,0.06814814,46.11454,0.0001179109,53.4741,1.540038E-05,20.4346,1.034142E-13,303.8335,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0006432487,-0.01430666,0.01432228,-0.04491245,60.02857,60.02213,
8.333333,2023/10/5,19:0:0.1083333,34,121.4496,321.0303,0.1051865,2.393346,0.07014497,46.76479,0.0001133803,53.38661,1.485309E-05,32.03011,8.921651E-14,123.8368,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0005647669,-0.01375912,0.01377155,-0.04100967,60.02869,60.03495,
8.333333,2023/10/5,19:0:0.1166667,34,121.4525,321.0982,0.0887152,8.195891,0.07101559,47.72581,0.0001129539,51.66172,1.838361E-05,34.60522,7.270378E-14,303.8155,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0001334668,-0.01371859,0.01372015,-0.009727795,60.02871,60.02917,
8.333333,2023/10/5,19:0:0.1250000,34,121.4564,321.1573,0.09717128,2.847548,0.06326487,45.35249,0.0001176852,54.00843,1.748821E-05,27.20417,5.621737E-14,123.8356,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0007094181,-0.01427663,0.01429532,-0.04962589,60.0285,60.02316,
8.333333,2023/10/5,19:0:0.1333333,34,121.415,321.1979,0.112634,0.7456787,0.07175707,43.46684,0.0001182363,54.54832,2.073483E-05,28.63905,3.898039E-14,303.9543,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.000836913,-0.01433222,0.014358,-0.05828897,60.0284,60.01629,
8.333333,2023/10/5,19:0:0.1416667,34,121.5751,321.2982,0.09349613,7.738012,0.07171324,42.90337,0.0001181654,51.60289,1.886399E-05,24.70872,2.452448E-14,123.842,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-7.469279E-05,-0.01436628,0.01436774,-0.005198648,60.02842,60.0261,
